idx,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
46,-0.10736,-0.12688,-0.019519999999999996,0.11712,-0.04392,-0.07319999999999999,0.00976,-0.08784,-0.06831999999999999,-0.08784,-0.09759999999999999,-0.09759999999999999
47,-0.10736,-0.12688,-0.019519999999999996,0.11712,-0.04392,-0.07319999999999999,0.00976,-0.08784,-0.06831999999999999,-0.08784,-0.09759999999999999,-0.09759999999999999
48,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.10736
49,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.10736
50,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.10736
51,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.10736
52,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.10736
53,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.10736
54,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.10736
55,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.10736
56,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.09759999999999999,-0.06831999999999999,-0.07808,-0.09759999999999999,-0.10736
57,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.09759999999999999,-0.06831999999999999,-0.07808,-0.09759999999999999,-0.10736
58,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.09759999999999999,-0.06831999999999999,-0.07808,-0.09759999999999999,-0.10736
59,-0.09759999999999999,-0.11712,-0.01952000000000001,0.10736,-0.03903999999999999,-0.06832,0.0,-0.09759999999999999,-0.06831999999999999,-0.07808,-0.09759999999999999,-0.10736
60,-0.09272,-0.10736,-0.01464,0.10003999999999999,-0.03904,-0.061,0.0,-0.10736,-0.06831999999999999,-0.08784,-0.10736,-0.11712
61,-0.08784,-0.10736,-0.019519999999999996,0.09759999999999999,-0.03416,-0.06344,0.0,-0.10736,-0.06831999999999999,-0.08784,-0.10736,-0.11712
62,-0.08295999999999999,-0.10736,-0.024400000000000005,0.09516,-0.029279999999999994,-0.06588,0.0,-0.10736,-0.06831999999999999,-0.08784,-0.10736,-0.11712
63,-0.07808,-0.10736,-0.02928,0.09272,-0.024399999999999998,-0.06831999999999999,0.0,-0.10736,-0.06831999999999999,-0.08784,-0.10736,-0.11712
64,-0.08784,-0.10736,-0.019519999999999996,0.09759999999999999,-0.03416,-0.06344,0.00976,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.11712
65,-0.08784,-0.10736,-0.019519999999999996,0.09759999999999999,-0.03416,-0.06344,0.00976,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.11712
66,-0.08784,-0.10736,-0.019519999999999996,0.09759999999999999,-0.03416,-0.06344,0.00976,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.11712
67,-0.08784,-0.10736,-0.019519999999999996,0.09759999999999999,-0.03416,-0.06344,0.00976,-0.09759999999999999,-0.05856,-0.07808,-0.09759999999999999,-0.11712
68,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.10736,-0.11712
69,-0.08784,-0.11712,-0.02928,0.10248,-0.02928,-0.0732,0.0,-0.09759999999999999,-0.06831999999999999,-0.08784,-0.10736,-0.11712
